country,country_code,sector,subsector,btype,bage,topic,feature,type,detail,estimated,value,unit,source,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Useful energy demand,Domestic hot water  [kWh/m² year],,0,18.3269363291449,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Final energy consumption,Space heating [kWh/m² year],,0,196.816315773898,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Final energy consumption,Space cooling [kWh/m² year],,0,5.3892241906409,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Final energy consumption,Domestic hot water [kWh/m² year],,0,27.4904044937173,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Total useful energy demand,Space heating+Domestic hot water [TWh/year],,0,8.28041985219884,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Total useful energy demand,Space cooling [TWh/year],,0,0.037797989588754,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Total final energy consumption,Space heating+Domestic hot water [TWh/year],,0,11.1637367676326,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,ENERGY,Total final energy consumption,Space cooling [TWh/year],,0,0.006425658230088,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,1980 - 1989,BUILDING,Area,Constructed area [Mm²],,0,42.7676096,Mm²,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1980 - 1989,BUILDING,Area,Heated area [Mm²],,0,39.5244668598262,Mm²,S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,,
Austria,at,Residential sector,Total,Total,1980 - 1989,BUILDING,Area,Cooled area [Mm²],,0,0.994923,Mm²,,,,,
Austria,at,Residential sector,Total,Total,1980 - 1989,BUILDING,Area,Number of dwellings/units [Mil.],,0,0.549136221283395,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1980 - 1989,BUILDING,Area,Number of buildings [Mil.],,0,0.445711462117912,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1980 - 1989,BUILDING,Tenure/ownership status and distribution,Owner occupied -  dwellings/units  [Mil.],,0,0.314105918574102,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1980 - 1989,BUILDING,Tenure/ownership status and distribution,Private rented  -  dwellings/units [Mil.],,0,0.149365052189083,1e6 dimensionless,Own calculations,,,,
